Mon;Sun;Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil hospitalisiert;Anzahl Verstorben;Anteil Verstorben
2020-12-07;2020-12-13;2020;50;156489;46;0.45385125094085937;0.54614874905914068;107606;0.147;114817;11162;9.7215569123039275E-2;5604;3.5810823759999999E-2
2020-12-14;2020-12-20;2020;51;174879;46;0.45180067363330167;0.54819932636669833;118376;0.145;126789;12425;9.799746034750649E-2;6278;3.5899107380000003E-2
2020-12-21;2020-12-27;2020;52;139154;48;0.44490430881661303;0.55509569118338697;91500;0.158;100129;10918;0.10903933925236445;5567;4.0006036469999999E-2
2020-12-28;2021-01-03;2020;53;123151;49;0.44123981492855097;0.55876018507144909;84388;0.134;90417;10796;0.1194023247840561;5549;4.5058505409999998E-2
2021-01-04;2021-01-10;2021;1;145533;48;0.45075187709288056;0.54924812290711944;101868;0.132;107114;10870;0.10148066545923035;5540;3.8066967620000003E-2
2021-01-11;2021-01-17;2021;2;119049;48;0.45421304465861273;0.54578695534138721;81219;0.158;87471;9577;0.1094877159287078;4936;4.1461919040000003E-2
2021-01-18;2021-01-24;2021;3;95602;48;0.45801293208020843;0.54198706791979157;66919;0.157;72567;8521;0.11742251987818154;3928;4.1087006539999998E-2
2021-01-25;2021-01-31;2021;4;78250;48;0.46314311115692364;0.53685688884307636;55437;0.160;61286;7235;0.11805306268968443;2989;3.8198083059999999E-2
2021-02-01;2021-02-07;2021;5;64669;46;0.4736061915833164;0.5263938084166836;46708;0.160;51280;6189;0.12069032761310453;2143;3.3137979550000002E-2
2021-02-08;2021-02-14;2021;6;50861;45;0.48369899122024695;0.51630100877975305;37430;0.163;40510;4967;0.12261170081461367;1612;3.169422543E-2
2021-02-15;2021-02-21;2021;7;52491;44;0.49175107427869857;0.50824892572130143;38866;0.162;42093;4896;0.11631387641650631;1399;2.6652187989999999E-2
2021-02-22;2021-02-28;2021;8;56450;42;0.4971050896976823;0.5028949103023177;41792;0.157;44959;4538;0.10093640872795213;1146;2.030115146E-2
2021-03-01;2021-03-07;2021;9;58500;40;0.50700810015993947;0.49299189984006053;43481;0.154;46285;4097;8.8516798098736096E-2;954;1.6307692299999999E-2
2021-03-08;2021-03-14;2021;10;71456;39;0.50264251990698328;0.49735748009301672;52352;0.156;55244;4543;8.2235174860618349E-2;995;1.392465293E-2
2021-03-15;2021-03-21;2021;11;92775;39;0.50399566278124153;0.49600433721875847;67329;0.154;70998;5286;7.4452801487365841E-2;1132;1.2201562920000001E-2
2021-03-22;2021-03-28;2021;12;116596;38;0.50803533648241384;0.49196466351758622;81523;0.157;88163;6211;7.0449054592062424E-2;1309;1.122680023E-2
2021-03-29;2021-04-04;2021;13;110406;39;0.51229676372158339;0.48770323627841661;74931;0.153;81602;6057;7.422612190877674E-2;1247;1.1294676010000001E-2
2021-04-05;2021-04-11;2021;14;118519;39;0.50745685555102593;0.49254314444897407;79809;0.139;86806;6415;7.3900421629841256E-2;1092;9.2137125600000001E-3
2021-04-12;2021-04-18;2021;15;142548;38;0.51020350420518767;0.48979649579481233;91504;0.156;102046;6382;6.2540422946514324E-2;936;6.5662092699999997E-3
2021-04-19;2021-04-25;2021;16;145336;37;0.51936001779272867;0.48063998220727139;89223;0.163;102023;5759;5.6448055830548016E-2;530;3.64672207E-3
2021-04-26;2021-05-02;2021;17;124151;37;0.52079548324548042;0.47920451675451958;67889;0.170;81126;3655;4.5053373764267927E-2;163;1.31291733E-3
